	Peak_area	p_succes	GWAS_init	bg_1	bg_2	bg_3	bg_4	bg_5	P_gwas	P_ss1	FOLD1	P_ss2	FOLD2	P_ss3	FOLD3	P_ss4	FOLD4	P_ss5	FOLD5	MEAN
Colon_Epithelial_2	9377923	0.003075418771739588	7	0	4	7	6	1	0.007875122198485083	0.09217724539715587	2.0318629570742397	0.12387179822540217	2.319381236520145	0.007875122198485083	1.0	0.023267630860586707	1.2880731592652828	0.22009320904258142	3.2001277088903346	1.1349503135641177
Colon_Epithelial_3	3886278	0.0012744754156542534	0	0	3	4	2	1	0.3726658499025061	0.3726658499025061	1.0	0.059615891228297246	0.3500466401454201	0.014663638335912083	0.2337714913159295	0.18154349085022542	0.5785009819026686	0.3680830939550657	0.9876196864337248	0.4193161015741382
Colon_Goblet	22265329	0.007301745894646163	16	3	6	9	7	3	0.0001713003876591061	0.1053835010190329	3.85400751231159	0.15954793615261711	4.724877720968902	0.056842658196972005	3.0243027133565694	0.12875491835820316	4.230609552683311	0.1053835010190329	3.85400751231159	2.2375926694843096
Cortical_Epithelial	7784073	0.002552727744170142	8	1	5	6	4	1	0.0007841165894376223	0.2739520053400522	5.522814221429197	0.034697113066712845	2.1275640138249665	0.011381067058337557	1.5976912072437992	0.08803554739512166	2.942761266689572	0.2739520053400522	5.522814221429197	2.013523407052995
Delta_and_Gamma	15567277	0.005105170506376512	14	2	4	13	8	4	4.714121691461755e-05	0.14993021235410042	5.250020968357265	0.19581490394227316	6.109684681750193	0.00016900948970838392	1.147003507730712	0.028186582457275188	2.791430728405924	0.19581490394227316	6.109684681750193	2.425312218647313
Ductal	16967085	0.005564226930707491	16	5	7	10	9	3	8.33863006807546e-06	0.16689294900568638	6.531833112996728	0.07347379093426058	4.479275630032796	0.008034702585910148	2.4242635289341847	0.018770691641544438	2.9417012849624724	0.17958360737315007	6.81061879962891	2.6075061276766616
Endocardial	6100165	0.0020005028780582675	2	0	3	5	6	1	0.25513953125052874	0.21226069320341526	0.8812887183697237	0.13160811140378884	0.6735671227624619	0.01569695743730953	0.32880353442336085	0.0040327326198196616	0.2477539696920636	0.32932097836774604	1.229780474134703	0.42687251102344187
Endothelial_Exocrine	2109087	0.000691659096692512	0	0	2	3	2	0	0.585359339908285	0.585359339908285	1.0	0.08388767790121596	0.21608942941955162	0.014941245415656924	0.12739689197068438	0.08388767790121596	0.21608942941955162	0.585359339908285	1.0	0.36973907688179575
Endothelial_General_1	43628356	0.014307588687019234	41	15	15	16	16	14	1.7229925284289132e-12	0.05477175561801973	9.32560048402509	0.05477175561801973	9.32560048402509	0.03771407744820551	8.263958858688085	0.03771407744820551	8.263958858688085	0.0744747913078951	10.428912714256855	5.090300677945058
Endothelial_General_2	17072148	0.005598681545275693	15	6	8	11	8	2	3.356895238837753e-05	0.12094010230876356	4.876735913707352	0.040326175562024474	3.208563265721775	0.003254674993171054	1.7986234895125233	0.040326175562024474	3.208563265721775	0.12293846699840726	4.914865668089826	2.023799677318764
Endothelial_General_3	8387698	0.002750681987992714	6	0	3	8	8	1	0.015296689559122422	0.11860443735163873	1.9606916356314257	0.19160081366598983	2.5298158314772112	0.001224163090861356	0.6233867984455244	0.001224163090861356	0.6233867984455244	0.2532086477544045	3.043314700818849	1.0253170613800724
Endothelial_Myocardial	28351490	0.009297656267041989	25	11	8	15	12	7	1.0678965333160673e-07	0.05020607435731535	5.365791371782705	0.13431267800846536	7.995878908800202	0.003997710252027991	2.906973443659209	0.02995917520505872	4.576046886182761	0.14927302558558198	8.439846607889276	3.2891199785961427
Enteric_Neuron	1199536	0.000393378739810235	0	0	1	0	0	0	0.7374661815480329	0.7374661815480329	1.0	0.2246284863450138	0.20393325891415945	0.7374661815480329	1.0	0.7374661815480329	1.0	0.7374661815480329	1.0	0.7378844766559192
Enterochromaffin	1720381	0.0005641859100297714	0	0	1	3	1	0	0.6460986195319068	0.6460986195319068	1.0	0.28229754522276335	0.3453552511906011	0.008947203211174782	0.09261339198778874	0.28229754522276335	0.3453552511906011	0.6460986195319068	1.0	0.44477386750639997
Enterocyte	37157338	0.012185467378338756	25	12	8	15	11	10	1.0367645620981365e-05	0.08319678125853698	4.615566228561184	0.12495330366227211	5.518192528531713	0.025211427607437272	3.118313230925403	0.10607094850071207	5.115252164428716	0.12380238143717955	5.493749771737807	2.693456887265825
Esophageal_Epithelial	82763264	0.027141585158679513	49	22	23	18	20	21	4.7230946462332186e-08	0.08394717742624996	6.808378133205052	0.07657405951549859	6.564793465947844	0.07506791040830343	6.514429362384019	0.08776282911554072	6.932759478074533	0.08791201498183278	6.937602256150496	3.787253278864791
Fasciculata	11429134	0.0037480978728794386	10	2	5	7	6	1	0.000622935628556295	0.23147633691469136	5.044201614999463	0.09415492295758164	3.1238464778329704	0.018739794343882756	1.8558890341980137	0.04540042110619925	2.386969295246196	0.15918983898716058	4.016562407131536	1.8605504229781116
Fibro_Epithelial	30617527	0.010040785926696527	22	12	8	12	6	5	1.2995807599371297e-05	0.04255334400627511	3.56379316348308	0.13984289659967	5.719133711394937	0.04255334400627511	3.56379316348308	0.12923229078901735	5.498579229384994	0.09941354203646269	4.873746972711167	2.6255653682098536
Fibro_General	62685182	0.020557130340344287	44	26	22	22	16	14	2.1089409119027558e-09	0.005089194696555214	3.7830824141299435	0.029659724954731504	5.678589391515273	0.029659724954731504	5.678589391515273	0.10023368111427514	8.684739136697958	0.09466791074698198	8.474271589983648	3.61705477395698
Fibro_GI	27237229	0.008932242817174963	25	13	9	12	12	5	5.166096649580463e-08	0.012956347559565354	3.8605405349278863	0.09916008194080955	7.26024231233281	0.024525270003477824	4.5249005865481084	0.024525270003477824	4.5249005865481084	0.13097194505707374	8.254030553733989	3.1893107934550824
Fibro_Liver_Adrenal	4785039	0.0015692172738148975	2	1	2	4	3	1	0.21914094678757087	0.36075214128164457	1.4889108938726099	0.21914094678757087	1.0	0.0268499945373924	0.4196391159624524	0.08863080566610611	0.6264413530761124	0.36075214128164457	1.4889108938726099	0.6354751272284999
Fibro_Muscle	13975491	0.004583156351963827	11	1	5	8	7	1	0.0007845286023088384	0.10180268568772223	3.1296751041807642	0.13506991878152608	3.5717086356774184	0.017773843384171525	1.7742875820502984	0.04026394128665144	2.225953312262604	0.10180268568772223	3.1296751041807642	1.5695789030546579
Fibro_Nerve	17437611	0.0057185323662491926	17	6	4	11	8	1	2.9449737232066598e-06	0.12518748905491905	6.128855400425564	0.19174084668418498	7.710904042359465	0.003747607060368838	2.2796199092739027	0.043559206848645164	4.06410253844038	0.05257133355820132	4.323560074506537	2.7554067732396947
Follicular	72190070	0.023674186321554876	53	22	19	21	19	19	1.0362253306066844e-11	0.060259061729983826	9.003891122167738	0.09110457677019379	10.557395626489622	0.07260554346402126	9.643770294966663	0.09110457677019379	10.557395626489622	0.09110457677019379	10.557395626489622	5.629529730041985
Foveolar	8579018	0.0028134239319614605	8	0	4	7	9	2	0.0013972273102289734	0.11296704691301043	3.0143480149550146	0.10621055613731284	2.9314419783176744	0.005165387829147395	1.2482997060929524	0.00033551510720871797	0.821674253793212	0.2690046224122483	5.006193262885605	1.4891859219478196
GABA_1	8564421	0.0028086369564434186	7	1	5	8	3	1	0.005123007486937985	0.2471857799669674	3.773580930904556	0.045925355376767035	1.711931935515502	0.0013833990250790853	0.801130787775869	0.1950308091373979	3.2264902196857856	0.2471857799669674	3.773580930904556	1.5306933498102755
